node_id,node_type,label,avg_rpi,n_paket,degree_cent,in_degree,pagerank,risk_influence,betweenness,cluster_id
L::Kota Manado,lembaga,Kota Manado,16.69,3199,0.002,0.0,0.003407,0.000569,0.0,0
L::Kab. Mempawah,lembaga,Kab. Mempawah,15.4,3212,0.0015,0.0,0.00342,0.000527,0.0,0
L::Kab. Boven Digoel,lembaga,Kab. Boven Digoel,30.75,1215,0.001,0.0,0.001294,0.000398,0.0,0
L::Kab. Parigi Moutong,lembaga,Kab. Parigi Moutong,23.52,4742,0.0027,0.0,0.00505,0.001188,0.0,0
L::Badan Pengusahaan Kawasan Perdagangan Bebas Dan Pelabuhan Bebas Batam (984423),lembaga,Badan Pengusahaan Kawasan Perdagangan Bebas Dan Pelabuhan Bebas Batam (984423),15.82,200,0.0001,0.0,0.000213,3.4e-05,0.0,1
L::Kab. Bangka Selatan,lembaga,Kab. Bangka Selatan,27.92,2749,0.0014,0.0,0.002927,0.000817,0.0,0
L::Kementerian Pemuda Dan Olah Raga,lembaga,Kementerian Pemuda Dan Olah Raga,49.76,1134,0.0008,0.0,0.001208,0.000601,0.0,0
L::Kab. Melawi,lembaga,Kab. Melawi,24.61,2608,0.0015,0.0,0.002777,0.000683,0.0,1
L::Kab. Penajam Paser Utara,lembaga,Kab. Penajam Paser Utara,19.07,3631,0.0015,0.0,0.003867,0.000737,0.0,0
L::Kab. Soppeng,lembaga,Kab. Soppeng,26.18,1778,0.0016,0.0,0.001893,0.000496,0.0,0
L::Kota Banjar,lembaga,Kota Banjar,24.16,1657,0.0015,0.0,0.001765,0.000426,0.0,0
L::Kab. Sukabumi,lembaga,Kab. Sukabumi,27.51,11065,0.0042,0.0,0.011783,0.003242,0.0,0
L::Kab. Batu Bara,lembaga,Kab. Batu Bara,18.06,990,0.0011,0.0,0.001054,0.00019,0.0,1
L::Kementerian Badan Usaha Milik Negara,lembaga,Kementerian Badan Usaha Milik Negara,27.55,369,0.0001,0.0,0.000393,0.000108,0.0,0
L::Kab. Lampung Barat,lembaga,Kab. Lampung Barat,23.97,5873,0.0021,0.0,0.006254,0.001499,0.0,0
L::Kota Gorontalo,lembaga,Kota Gorontalo,20.04,4332,0.0031,0.0,0.004613,0.000924,0.0,0
L::Kab. Banjarnegara,lembaga,Kab. Banjarnegara,20.32,7090,0.0013,0.0,0.00755,0.001534,0.0,0
L::Kota Kupang,lembaga,Kota Kupang,20.96,2298,0.0009,0.0,0.002447,0.000513,0.0,0
L::Kota Sabang,lembaga,Kota Sabang,29.1,1883,0.0009,0.0,0.002005,0.000584,0.0,0
L::Kab. Jembrana,lembaga,Kab. Jembrana,12.1,3890,0.0011,0.0,0.004142,0.000501,0.0,0
L::Kab. Kepulauan Sangihe,lembaga,Kab. Kepulauan Sangihe,24.81,3078,0.0028,0.0,0.003278,0.000813,0.0,1
L::Kab. Gunung Mas,lembaga,Kab. Gunung Mas,29.39,2602,0.0015,0.0,0.002771,0.000814,0.0,0
L::Kab. Luwu Timur,lembaga,Kab. Luwu Timur,19.62,8132,0.0017,0.0,0.00866,0.001699,0.0,0
L::Kab. Belitung,lembaga,Kab. Belitung,21.21,3989,0.0017,0.0,0.004248,0.000901,0.0,0
L::Kab. Dairi,lembaga,Kab. Dairi,15.45,2141,0.0012,0.0,0.00228,0.000352,0.0,0
L::Kab. Kolaka,lembaga,Kab. Kolaka,19.99,6131,0.0031,0.0,0.006529,0.001305,0.0,1
L::Kab. Mahakam Ulu,lembaga,Kab. Mahakam Ulu,27.49,3097,0.0012,0.0,0.003298,0.000907,0.0,0
L::Kab. Musi Rawas Utara,lembaga,Kab. Musi Rawas Utara,27.79,2299,0.001,0.0,0.002448,0.00068,0.0,0
L::Kab. Asahan,lembaga,Kab. Asahan,25.79,4054,0.0027,0.0,0.004317,0.001113,0.0,0
L::Kab. Bengkulu Selatan,lembaga,Kab. Bengkulu Selatan,12.16,2019,0.0021,0.0,0.00215,0.000261,0.0,1
L::Kota Kendari,lembaga,Kota Kendari,18.02,2201,0.002,0.0,0.002344,0.000422,0.0,0
L::Badan Pangan Nasional,lembaga,Badan Pangan Nasional,15.22,386,0.0007,0.0,0.000411,6.3e-05,0.0,0
L::Kota Bukittinggi,lembaga,Kota Bukittinggi,23.18,3674,0.0037,0.0,0.003912,0.000907,0.0,0
L::Kota Samarinda,lembaga,Kota Samarinda,23.59,3369,0.0012,0.0,0.003588,0.000846,0.0,0
L::Otorita Ibu Kota Nusantara (OIKN),lembaga,Otorita Ibu Kota Nusantara (OIKN),28.51,258,0.0002,0.0,0.000275,7.8e-05,0.0,0
L::Kab. Karimun,lembaga,Kab. Karimun,17.04,4448,0.0025,0.0,0.004737,0.000807,0.0,0
L::Bendahara Umum Negara (Kementerian Keuangan),lembaga,Bendahara Umum Negara (Kementerian Keuangan),49.52,29,0.0003,0.0,3.1e-05,1.5e-05,0.0,1
L::Kementerian Kebudayaan,lembaga,Kementerian Kebudayaan,39.22,4399,0.0022,0.0,0.004684,0.001837,0.0,0
L::Kementerian Koordinator Bidang Pembangunan Manusia dan Kebudayaan,lembaga,Kementerian Koordinator Bidang Pembangunan Manusia dan Kebudayaan,37.88,293,0.0001,0.0,0.000312,0.000118,0.0,0
L::Kab. Demak,lembaga,Kab. Demak,19.55,6976,0.002,0.0,0.007429,0.001452,0.0,1
L::Kab. Tulang Bawang Barat,lembaga,Kab. Tulang Bawang Barat,29.73,3224,0.0016,0.0,0.003433,0.001021,0.0,0
L::Kab. Pangkajene Kepulauan,lembaga,Kab. Pangkajene Kepulauan,22.39,3328,0.0023,0.0,0.003544,0.000793,0.0,0
L::Kab. Lombok Tengah,lembaga,Kab. Lombok Tengah,25.21,9011,0.0025,0.0,0.009596,0.002419,0.0,1
L::Kab. Jayawijaya,lembaga,Kab. Jayawijaya,33.44,3940,0.0008,0.0,0.004196,0.001403,0.0,0
L::Kab. Kapuas Hulu,lembaga,Kab. Kapuas Hulu,18.33,2960,0.0015,0.0,0.003152,0.000578,0.0,0
L::Kab. Minahasa Utara,lembaga,Kab. Minahasa Utara,15.83,2287,0.0019,0.0,0.002435,0.000386,0.0,0
